Long	Lat	Source	Species	stat	Bio1	Bio2	Bio3	Bio4	Bio5	Bio6	Bio7	Bio8	Bio9	Bio10	Bio11	Bio12	Bio13	Bio14	Bio15	Bio16	Bio17	Bio18	Bio19
65.033	63.927	BER	PO	pt_nonhy	28	87	18	11705	261	-197	458	169	-110	178	-125	662	90	28	35	251	100	239	112
90.049	61.758	BOR	PO	pt_nonhy	19	106	19	14227	297	-235	532	31	-84	199	-167	684	80	32	25	214	105	193	149
34.42	53.26	BRI	PA	pt_nonhy	112	86	23	9605	324	-35	359	99	5	242	-1	538	58	29	18	158	112	116	122
27.5615	53.9045	BY_1	PA	pt_nonhy	115	87	25	9220	316	-30	346	56	220	240	5	592	68	24	25	183	103	110	153
30.16667	55.18333	BY_2	PA	pt_nonhy	110	86	25	9142	309	-32	340	50	47	234	0	585	66	27	23	186	121	126	146
25.83	53.92	BY_3	PA	pt_nonhy	117	91	26	8968	316	-31	347	62	220	239	10	563	64	22	27	177	94	98	144
28.18	55.58	BY_4	PA	pt_nonhy	110	85	24	9056	308	-35	343	52	234	234	2	565	59	32	19	174	117	117	138
12.80528	50.10833	CZE	PA	pt_nonhy	110	89	27	7805	298	-25	323	143	208	217	18	684	77	30	25	214	131	156	172
8.186	48.2775	DE_1	PA	pt_nonhy	143	97	31	7432	334	23	312	171	241	245	56	891	116	33	32	307	135	191	228
12.23	47	DE_2	PA	pt_nonhy	29	70	26	6616	183	-81	264	-2	90	119	-44	1440	166	73	23	452	247	280	377
60.35	56.5	EKA	PO	pt_nonhy	77	94	22	11175	305	-114	419	221	-50	221	-68	529	75	22	29	184	86	184	104
92.2	58.453	ENI	PO	pt_nonhy	44	109	20	13797	317	-206	523	-100	-55	220	-135	488	61	18	28	150	78	136	119
24.29	62.4	FI_1	PA	pt_nonhy	76	86	25	8371	259	-84	342	74	8	190	-26	627	75	34	23	197	113	152	151
29.22	61.57	FI_2	PA	pt_nonhy	85	73	22	8544	265	-61	326	32	74	202	-18	705	100	35	29	246	131	153	182
26.686	66.436	FIPA17	PA	pt_nonhy	49	86	23	9142	237	-126	363	109	-26	174	-62	602	67	30	21	187	104	174	133
12.262	47.463	GERH	PA	pt_nonhy	95	101	32	7678	275	-39	314	168	158	198	2	1118	141	56	25	385	220	341	246
12.262	47	GERL	PA	pt_nonhy	34	73	27	6688	190	-78	269	3	95	124	-40	1398	158	71	22	436	245	278	359
49.88	67.27	Indigo	PO	pt_hy	43	74	21	8099	231	-110	342	147	27	151	-58	508	71	27	31	177	90	165	101
13.595	42.27	ITAH	PA	pt_nonhy	160	103	32	7611	345	27	318	118	259	262	69	760	99	33	30	264	119	121	233
13.595	41.807	ITAL	PA	pt_nonhy	143	87	30	7222	312	22	290	106	240	241	59	756	100	33	38	286	105	107	248
65.608	64.696	KAZM	PO	pt_nonhy	22	83	18	11536	252	-202	454	164	-115	170	-128	654	94	30	36	251	101	245	110
69.253	61.05	KM	PO	pt_nonhy	46	85	18	12230	285	-178	462	187	-39	201	-116	627	79	24	32	223	87	212	118
92.762	55.985	KRA	PO	pt_nonhy	67	104	22	12521	317	-151	468	228	-76	228	-95	476	64	16	33	165	64	165	82
25.2797	54.6872	LT	PA	pt_nonhy	116	90	26	8916	312	-33	345	62	237	237	9	574	68	25	27	187	95	95	152
66.087	62.452	OKT	PO	pt_nonhy	40	87	18	11907	276	-182	458	181	-44	192	-117	698	93	28	32	252	102	236	128
58.5	54.2	PAH	PO	pt_hy	57	112	23	12412	309	-159	469	215	-89	215	-103	522	74	28	26	175	93	175	113
58.52	55.34	PAL	PO	pt_hy	71	108	23	11974	315	-140	455	203	-69	224	-83	564	72	24	25	181	98	181	123
23.1688	53.1325	PL_1	PA	pt_nonhy	119	94	27	8591	313	-28	341	110	235	235	14	509	63	25	24	152	96	96	117
22.58	50.34	PL_2	PA	pt_nonhy	132	98	27	8936	335	-18	353	181	237	251	18	488	61	20	28	167	89	104	95
23.46	52.42	PL_3	PA	pt_nonhy	123	94	26	8830	323	-30	353	113	243	243	16	500	66	25	25	153	93	93	116
23.03	54.03	PL_4	PA	pt_nonhy	114	91	26	8597	305	-35	340	63	212	230	10	507	61	23	26	160	102	103	112
65.909	65.907	PUT	PO	pt_nonhy	16	79	17	11358	245	-206	451	159	-121	162	-131	605	86	29	36	236	96	228	100
33.15	68.97	R1	PA	pt_hy	49	56	18	7488	210	-89	299	144	-11	151	-43	566	89	21	42	225	75	212	99
34.23	63.4	R2	PO	pt_hy	65	71	21	8511	238	-87	325	124	-33	180	-40	579	69	30	28	201	96	181	109
43.14	64.45	R20	PO	pt_hy	61	83	23	8386	254	-100	354	120	-5	174	-44	615	75	32	24	189	107	186	123
46.54	61.15	R22	PO	pt_hy	69	90	23	9741	283	-103	386	180	3	199	-54	587	67	25	22	175	102	173	135
37.57	59.7	R24	PA	pt_hy	81	86	24	9277	281	-77	358	74	-23	205	-34	598	68	29	22	187	102	153	124
42.2	58.24	R27	PA	pt_hy	91	80	22	9610	295	-58	353	79	32	220	-28	660	82	34	24	221	127	142	164
